case_id	clinical_domain_code	clinical_domain	reviewer_id	physician_title_group	n_tested_models	n_trajectory_assessments
case_CL120_EHR_006	cardiovascular	Cardiovascular	PHY-5856B8C3FE	Resident physician	10	10
case_CL120_EHR_006	cardiovascular	Cardiovascular	PHY-3D3448CABA	Attending physician	10	10
case_CL120_EHR_006	cardiovascular	Cardiovascular	PHY-8EF81AFB15	Attending physician	10	10
case_CL120_EHR_006	cardiovascular	Cardiovascular	PHY-D975BD5359	Associate-chief/chief physician	10	10
case_CL120_EHR_007	cardiovascular	Cardiovascular	PHY-14498DCF8C	Resident physician	10	10
case_CL120_EHR_007	cardiovascular	Cardiovascular	PHY-D7BC4A231B	Resident physician	10	10
case_CL120_EHR_007	cardiovascular	Cardiovascular	PHY-2488899DB8	Attending physician	10	10
case_CL120_EHR_007	cardiovascular	Cardiovascular	PHY-FC68058C84	Attending physician	10	10
case_CL120_EHR_007	cardiovascular	Cardiovascular	PHY-A2FB7FC18D	Associate-chief/chief physician	10	10
case_CL120_EHR_008	cardiovascular	Cardiovascular	PHY-266ADBE973	Resident physician	10	10
case_CL120_EHR_008	cardiovascular	Cardiovascular	PHY-7B18D30F5C	Resident physician	10	10
case_CL120_EHR_008	cardiovascular	Cardiovascular	PHY-3D3448CABA	Attending physician	10	10
case_CL120_EHR_008	cardiovascular	Cardiovascular	PHY-BF915F9AD6	Attending physician	10	10
case_CL120_EHR_008	cardiovascular	Cardiovascular	PHY-D975BD5359	Associate-chief/chief physician	10	10
case_CL120_EHR_009	cardiovascular	Cardiovascular	PHY-5856B8C3FE	Resident physician	10	10
case_CL120_EHR_009	cardiovascular	Cardiovascular	PHY-D7BC4A231B	Resident physician	10	10
case_CL120_EHR_009	cardiovascular	Cardiovascular	PHY-8EF81AFB15	Attending physician	10	10
case_CL120_EHR_009	cardiovascular	Cardiovascular	PHY-FC68058C84	Attending physician	10	10
case_CL120_EHR_009	cardiovascular	Cardiovascular	PHY-A2FB7FC18D	Associate-chief/chief physician	10	10
case_CL120_EHR_010	cardiovascular	Cardiovascular	PHY-266ADBE973	Resident physician	10	10
case_CL120_EHR_010	cardiovascular	Cardiovascular	PHY-D7BC4A231B	Resident physician	10	10
case_CL120_EHR_010	cardiovascular	Cardiovascular	PHY-3D3448CABA	Attending physician	10	10
case_CL120_EHR_010	cardiovascular	Cardiovascular	PHY-FC68058C84	Attending physician	10	10
case_CL120_EHR_010	cardiovascular	Cardiovascular	PHY-D975BD5359	Associate-chief/chief physician	10	10
case_CL120_EHR_011	cardiovascular	Cardiovascular	PHY-5856B8C3FE	Resident physician	10	10
case_CL120_EHR_011	cardiovascular	Cardiovascular	PHY-7B18D30F5C	Resident physician	10	10
case_CL120_EHR_011	cardiovascular	Cardiovascular	PHY-8EF81AFB15	Attending physician	10	10
case_CL120_EHR_011	cardiovascular	Cardiovascular	PHY-BF915F9AD6	Attending physician	10	10
case_CL120_EHR_011	cardiovascular	Cardiovascular	PHY-A2FB7FC18D	Associate-chief/chief physician	10	10
case_CL120_EHR_012	cardiovascular	Cardiovascular	PHY-14498DCF8C	Resident physician	10	10
case_CL120_EHR_012	cardiovascular	Cardiovascular	PHY-266ADBE973	Resident physician	10	10
case_CL120_EHR_012	cardiovascular	Cardiovascular	PHY-2488899DB8	Attending physician	10	10
case_CL120_EHR_012	cardiovascular	Cardiovascular	PHY-3D3448CABA	Attending physician	10	10
case_CL120_EHR_012	cardiovascular	Cardiovascular	PHY-D975BD5359	Associate-chief/chief physician	10	10
case_CL120_EHR_013	cardiovascular	Cardiovascular	PHY-14498DCF8C	Resident physician	10	10
case_CL120_EHR_013	cardiovascular	Cardiovascular	PHY-5856B8C3FE	Resident physician	10	10
case_CL120_EHR_013	cardiovascular	Cardiovascular	PHY-2488899DB8	Attending physician	10	10
case_CL120_EHR_013	cardiovascular	Cardiovascular	PHY-8EF81AFB15	Attending physician	10	10
case_CL120_EHR_013	cardiovascular	Cardiovascular	PHY-A2FB7FC18D	Associate-chief/chief physician	10	10
case_CL120_EHR_014	cardiovascular	Cardiovascular	PHY-7B18D30F5C	Resident physician	10	10
case_CL120_EHR_014	cardiovascular	Cardiovascular	PHY-D7BC4A231B	Resident physician	10	10
case_CL120_EHR_014	cardiovascular	Cardiovascular	PHY-BF915F9AD6	Attending physician	10	10
case_CL120_EHR_014	cardiovascular	Cardiovascular	PHY-FC68058C84	Attending physician	10	10
case_CL120_EHR_014	cardiovascular	Cardiovascular	PHY-D975BD5359	Associate-chief/chief physician	10	10
case_CL120_EHR_015	respiratory	Respiratory	PHY-14B3F07D27	Resident physician	10	10
case_CL120_EHR_015	respiratory	Respiratory	PHY-16BE1CD6F2	Resident physician	10	10
case_CL120_EHR_015	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_015	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_015	respiratory	Respiratory	PHY-315A29DEE8	Associate-chief/chief physician	10	10
case_CL120_EHR_016	respiratory	Respiratory	PHY-47519704CD	Resident physician	10	10
case_CL120_EHR_016	respiratory	Respiratory	PHY-589B3BC2F3	Resident physician	10	10
case_CL120_EHR_016	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_016	respiratory	Respiratory	PHY-EAC573A2CA	Attending physician	10	10
case_CL120_EHR_016	respiratory	Respiratory	PHY-315A29DEE8	Associate-chief/chief physician	10	10
case_CL120_EHR_017	respiratory	Respiratory	PHY-A20D771DEE	Resident physician	10	10
case_CL120_EHR_017	respiratory	Respiratory	PHY-A7A90595E9	Resident physician	10	10
case_CL120_EHR_017	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_017	respiratory	Respiratory	PHY-EAC573A2CA	Attending physician	10	10
case_CL120_EHR_017	respiratory	Respiratory	PHY-DAF316046C	Associate-chief/chief physician	10	10
case_CL120_EHR_018	respiratory	Respiratory	PHY-B2A4E2CBB8	Resident physician	10	10
case_CL120_EHR_018	respiratory	Respiratory	PHY-BD3B661B3D	Resident physician	10	10
case_CL120_EHR_018	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_018	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_018	respiratory	Respiratory	PHY-315A29DEE8	Associate-chief/chief physician	10	10
case_CL120_EHR_019	respiratory	Respiratory	PHY-14B3F07D27	Resident physician	10	10
case_CL120_EHR_019	respiratory	Respiratory	PHY-47519704CD	Resident physician	10	10
case_CL120_EHR_019	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_019	respiratory	Respiratory	PHY-EAC573A2CA	Attending physician	10	10
case_CL120_EHR_019	respiratory	Respiratory	PHY-DAF316046C	Associate-chief/chief physician	10	10
case_CL120_EHR_020	respiratory	Respiratory	PHY-16BE1CD6F2	Resident physician	10	10
case_CL120_EHR_020	respiratory	Respiratory	PHY-589B3BC2F3	Resident physician	10	10
case_CL120_EHR_020	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_020	respiratory	Respiratory	PHY-EAC573A2CA	Attending physician	10	10
case_CL120_EHR_020	respiratory	Respiratory	PHY-315A29DEE8	Associate-chief/chief physician	10	10
case_CL120_EHR_021	respiratory	Respiratory	PHY-A20D771DEE	Resident physician	10	10
case_CL120_EHR_021	respiratory	Respiratory	PHY-B2A4E2CBB8	Resident physician	10	10
case_CL120_EHR_021	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_021	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_021	respiratory	Respiratory	PHY-DAF316046C	Associate-chief/chief physician	10	10
case_CL120_EHR_022	respiratory	Respiratory	PHY-A7A90595E9	Resident physician	10	10
case_CL120_EHR_022	respiratory	Respiratory	PHY-BD3B661B3D	Resident physician	10	10
case_CL120_EHR_022	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_022	respiratory	Respiratory	PHY-EAC573A2CA	Attending physician	10	10
case_CL120_EHR_022	respiratory	Respiratory	PHY-315A29DEE8	Associate-chief/chief physician	10	10
case_CL120_EHR_023	respiratory	Respiratory	PHY-14B3F07D27	Resident physician	10	10
case_CL120_EHR_023	respiratory	Respiratory	PHY-D208B172BB	Resident physician	10	10
case_CL120_EHR_023	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_023	respiratory	Respiratory	PHY-EAC573A2CA	Attending physician	10	10
case_CL120_EHR_023	respiratory	Respiratory	PHY-DAF316046C	Associate-chief/chief physician	10	10
case_CL120_EHR_024	respiratory	Respiratory	PHY-16BE1CD6F2	Resident physician	10	10
case_CL120_EHR_024	respiratory	Respiratory	PHY-47519704CD	Resident physician	10	10
case_CL120_EHR_024	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_024	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_024	respiratory	Respiratory	PHY-315A29DEE8	Associate-chief/chief physician	10	10
case_CL120_EHR_025	respiratory	Respiratory	PHY-589B3BC2F3	Resident physician	10	10
case_CL120_EHR_025	respiratory	Respiratory	PHY-A20D771DEE	Resident physician	10	10
case_CL120_EHR_025	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_025	respiratory	Respiratory	PHY-EAC573A2CA	Attending physician	10	10
case_CL120_EHR_025	respiratory	Respiratory	PHY-DAF316046C	Associate-chief/chief physician	10	10
case_CL120_EHR_026	respiratory	Respiratory	PHY-A7A90595E9	Resident physician	10	10
case_CL120_EHR_026	respiratory	Respiratory	PHY-B2A4E2CBB8	Resident physician	10	10
case_CL120_EHR_026	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_026	respiratory	Respiratory	PHY-EAC573A2CA	Attending physician	10	10
case_CL120_EHR_026	respiratory	Respiratory	PHY-315A29DEE8	Associate-chief/chief physician	10	10
case_CL120_EHR_027	endocrine_metabolic	Endocrine and metabolic	PHY-5B0BBCD5D1	Resident physician	10	10
case_CL120_EHR_027	endocrine_metabolic	Endocrine and metabolic	PHY-9A15DAC417	Resident physician	10	10
case_CL120_EHR_027	endocrine_metabolic	Endocrine and metabolic	PHY-0E06D0DC67	Attending physician	10	10
case_CL120_EHR_027	endocrine_metabolic	Endocrine and metabolic	PHY-3C8C474B1E	Attending physician	10	10
case_CL120_EHR_027	endocrine_metabolic	Endocrine and metabolic	PHY-735C54AACB	Associate-chief/chief physician	10	10
case_CL120_EHR_028	endocrine_metabolic	Endocrine and metabolic	PHY-D13BB58A3A	Resident physician	10	10
case_CL120_EHR_028	endocrine_metabolic	Endocrine and metabolic	PHY-FBFBA53FF4	Resident physician	10	10
case_CL120_EHR_028	endocrine_metabolic	Endocrine and metabolic	PHY-0E06D0DC67	Attending physician	10	10
case_CL120_EHR_028	endocrine_metabolic	Endocrine and metabolic	PHY-87FDF10AD5	Attending physician	10	10
case_CL120_EHR_028	endocrine_metabolic	Endocrine and metabolic	PHY-FDA86A7C81	Associate-chief/chief physician	10	10
case_CL120_EHR_029	endocrine_metabolic	Endocrine and metabolic	PHY-5B0BBCD5D1	Resident physician	10	10
case_CL120_EHR_029	endocrine_metabolic	Endocrine and metabolic	PHY-D13BB58A3A	Resident physician	10	10
case_CL120_EHR_029	endocrine_metabolic	Endocrine and metabolic	PHY-3C8C474B1E	Attending physician	10	10
case_CL120_EHR_029	endocrine_metabolic	Endocrine and metabolic	PHY-87FDF10AD5	Attending physician	10	10
case_CL120_EHR_029	endocrine_metabolic	Endocrine and metabolic	PHY-735C54AACB	Associate-chief/chief physician	10	10
case_CL120_EHR_030	endocrine_metabolic	Endocrine and metabolic	PHY-9A15DAC417	Resident physician	10	10
case_CL120_EHR_030	endocrine_metabolic	Endocrine and metabolic	PHY-FBFBA53FF4	Resident physician	10	10
case_CL120_EHR_030	endocrine_metabolic	Endocrine and metabolic	PHY-0E06D0DC67	Attending physician	10	10
case_CL120_EHR_030	endocrine_metabolic	Endocrine and metabolic	PHY-3C8C474B1E	Attending physician	10	10
case_CL120_EHR_030	endocrine_metabolic	Endocrine and metabolic	PHY-FDA86A7C81	Associate-chief/chief physician	10	10
case_CL120_EHR_031	endocrine_metabolic	Endocrine and metabolic	PHY-5B0BBCD5D1	Resident physician	10	10
case_CL120_EHR_031	endocrine_metabolic	Endocrine and metabolic	PHY-FBFBA53FF4	Resident physician	10	10
case_CL120_EHR_031	endocrine_metabolic	Endocrine and metabolic	PHY-0E06D0DC67	Attending physician	10	10
case_CL120_EHR_031	endocrine_metabolic	Endocrine and metabolic	PHY-87FDF10AD5	Attending physician	10	10
case_CL120_EHR_031	endocrine_metabolic	Endocrine and metabolic	PHY-735C54AACB	Associate-chief/chief physician	10	10
case_CL120_EHR_032	endocrine_metabolic	Endocrine and metabolic	PHY-9A15DAC417	Resident physician	10	10
case_CL120_EHR_032	endocrine_metabolic	Endocrine and metabolic	PHY-D13BB58A3A	Resident physician	10	10
case_CL120_EHR_032	endocrine_metabolic	Endocrine and metabolic	PHY-3C8C474B1E	Attending physician	10	10
case_CL120_EHR_032	endocrine_metabolic	Endocrine and metabolic	PHY-87FDF10AD5	Attending physician	10	10
case_CL120_EHR_032	endocrine_metabolic	Endocrine and metabolic	PHY-FDA86A7C81	Associate-chief/chief physician	10	10
case_CL120_EHR_033	endocrine_metabolic	Endocrine and metabolic	PHY-5B0BBCD5D1	Resident physician	10	10
case_CL120_EHR_033	endocrine_metabolic	Endocrine and metabolic	PHY-9A15DAC417	Resident physician	10	10
case_CL120_EHR_033	endocrine_metabolic	Endocrine and metabolic	PHY-0E06D0DC67	Attending physician	10	10
case_CL120_EHR_033	endocrine_metabolic	Endocrine and metabolic	PHY-3C8C474B1E	Attending physician	10	10
case_CL120_EHR_033	endocrine_metabolic	Endocrine and metabolic	PHY-735C54AACB	Associate-chief/chief physician	10	10
case_CL120_EHR_034	endocrine_metabolic	Endocrine and metabolic	PHY-D13BB58A3A	Resident physician	10	10
case_CL120_EHR_034	endocrine_metabolic	Endocrine and metabolic	PHY-FBFBA53FF4	Resident physician	10	10
case_CL120_EHR_034	endocrine_metabolic	Endocrine and metabolic	PHY-0E06D0DC67	Attending physician	10	10
case_CL120_EHR_034	endocrine_metabolic	Endocrine and metabolic	PHY-87FDF10AD5	Attending physician	10	10
case_CL120_EHR_034	endocrine_metabolic	Endocrine and metabolic	PHY-FDA86A7C81	Associate-chief/chief physician	10	10
case_CL120_EHR_035	endocrine_metabolic	Endocrine and metabolic	PHY-5B0BBCD5D1	Resident physician	10	10
case_CL120_EHR_035	endocrine_metabolic	Endocrine and metabolic	PHY-D13BB58A3A	Resident physician	10	10
case_CL120_EHR_035	endocrine_metabolic	Endocrine and metabolic	PHY-3C8C474B1E	Attending physician	10	10
case_CL120_EHR_035	endocrine_metabolic	Endocrine and metabolic	PHY-87FDF10AD5	Attending physician	10	10
case_CL120_EHR_035	endocrine_metabolic	Endocrine and metabolic	PHY-735C54AACB	Associate-chief/chief physician	10	10
case_CL120_EHR_036	endocrine_metabolic	Endocrine and metabolic	PHY-9A15DAC417	Resident physician	10	10
case_CL120_EHR_036	endocrine_metabolic	Endocrine and metabolic	PHY-FBFBA53FF4	Resident physician	10	10
case_CL120_EHR_036	endocrine_metabolic	Endocrine and metabolic	PHY-0E06D0DC67	Attending physician	10	10
case_CL120_EHR_036	endocrine_metabolic	Endocrine and metabolic	PHY-3C8C474B1E	Attending physician	10	10
case_CL120_EHR_036	endocrine_metabolic	Endocrine and metabolic	PHY-FDA86A7C81	Associate-chief/chief physician	10	10
case_CL120_EHR_037	endocrine_metabolic	Endocrine and metabolic	PHY-5B0BBCD5D1	Resident physician	10	10
case_CL120_EHR_037	endocrine_metabolic	Endocrine and metabolic	PHY-FBFBA53FF4	Resident physician	10	10
case_CL120_EHR_037	endocrine_metabolic	Endocrine and metabolic	PHY-0E06D0DC67	Attending physician	10	10
case_CL120_EHR_037	endocrine_metabolic	Endocrine and metabolic	PHY-87FDF10AD5	Attending physician	10	10
case_CL120_EHR_037	endocrine_metabolic	Endocrine and metabolic	PHY-735C54AACB	Associate-chief/chief physician	10	10
case_CL120_EHR_038	endocrine_metabolic	Endocrine and metabolic	PHY-9A15DAC417	Resident physician	10	10
case_CL120_EHR_038	endocrine_metabolic	Endocrine and metabolic	PHY-D13BB58A3A	Resident physician	10	10
case_CL120_EHR_038	endocrine_metabolic	Endocrine and metabolic	PHY-3C8C474B1E	Attending physician	10	10
case_CL120_EHR_038	endocrine_metabolic	Endocrine and metabolic	PHY-87FDF10AD5	Attending physician	10	10
case_CL120_EHR_038	endocrine_metabolic	Endocrine and metabolic	PHY-FDA86A7C81	Associate-chief/chief physician	10	10
case_CL120_EHR_039	renal_urology	Renal and urologic	PHY-3F98D6F745	Resident physician	10	10
case_CL120_EHR_039	renal_urology	Renal and urologic	PHY-4BBF7B681D	Resident physician	10	10
case_CL120_EHR_039	renal_urology	Renal and urologic	PHY-613485E574	Attending physician	10	10
case_CL120_EHR_039	renal_urology	Renal and urologic	PHY-944446CECD	Attending physician	10	10
case_CL120_EHR_039	renal_urology	Renal and urologic	PHY-40DE8185EE	Associate-chief/chief physician	10	10
case_CL120_EHR_040	renal_urology	Renal and urologic	PHY-3F98D6F745	Resident physician	10	10
case_CL120_EHR_040	renal_urology	Renal and urologic	PHY-6B9832F1CB	Resident physician	10	10
case_CL120_EHR_040	renal_urology	Renal and urologic	PHY-613485E574	Attending physician	10	10
case_CL120_EHR_040	renal_urology	Renal and urologic	PHY-9F5268815C	Attending physician	10	10
case_CL120_EHR_040	renal_urology	Renal and urologic	PHY-40DE8185EE	Associate-chief/chief physician	10	10
case_CL120_EHR_041	renal_urology	Renal and urologic	PHY-4BBF7B681D	Resident physician	10	10
case_CL120_EHR_041	renal_urology	Renal and urologic	PHY-8E177BF6B9	Resident physician	10	10
case_CL120_EHR_041	renal_urology	Renal and urologic	PHY-944446CECD	Attending physician	10	10
case_CL120_EHR_041	renal_urology	Renal and urologic	PHY-9F744DC3B0	Attending physician	10	10
case_CL120_EHR_041	renal_urology	Renal and urologic	PHY-ED0516D3FE	Associate-chief/chief physician	10	10
case_CL120_EHR_042	renal_urology	Renal and urologic	PHY-3F98D6F745	Resident physician	10	10
case_CL120_EHR_042	renal_urology	Renal and urologic	PHY-ADE9557730	Resident physician	10	10
case_CL120_EHR_042	renal_urology	Renal and urologic	PHY-613485E574	Attending physician	10	10
case_CL120_EHR_042	renal_urology	Renal and urologic	PHY-9F744DC3B0	Attending physician	10	10
case_CL120_EHR_042	renal_urology	Renal and urologic	PHY-40DE8185EE	Associate-chief/chief physician	10	10
case_CL120_EHR_043	renal_urology	Renal and urologic	PHY-4BBF7B681D	Resident physician	10	10
case_CL120_EHR_043	renal_urology	Renal and urologic	PHY-6B9832F1CB	Resident physician	10	10
case_CL120_EHR_043	renal_urology	Renal and urologic	PHY-944446CECD	Attending physician	10	10
case_CL120_EHR_043	renal_urology	Renal and urologic	PHY-9F5268815C	Attending physician	10	10
case_CL120_EHR_043	renal_urology	Renal and urologic	PHY-ED0516D3FE	Associate-chief/chief physician	10	10
case_CL120_EHR_044	renal_urology	Renal and urologic	PHY-8E177BF6B9	Resident physician	10	10
case_CL120_EHR_044	renal_urology	Renal and urologic	PHY-ADE9557730	Resident physician	10	10
case_CL120_EHR_044	renal_urology	Renal and urologic	PHY-9F5268815C	Attending physician	10	10
case_CL120_EHR_044	renal_urology	Renal and urologic	PHY-9F744DC3B0	Attending physician	10	10
case_CL120_EHR_044	renal_urology	Renal and urologic	PHY-40DE8185EE	Associate-chief/chief physician	10	10
case_CL120_EHR_045	renal_urology	Renal and urologic	PHY-3F98D6F745	Resident physician	10	10
case_CL120_EHR_045	renal_urology	Renal and urologic	PHY-8E177BF6B9	Resident physician	10	10
case_CL120_EHR_045	renal_urology	Renal and urologic	PHY-613485E574	Attending physician	10	10
case_CL120_EHR_045	renal_urology	Renal and urologic	PHY-944446CECD	Attending physician	10	10
case_CL120_EHR_045	renal_urology	Renal and urologic	PHY-ED0516D3FE	Associate-chief/chief physician	10	10
case_CL120_EHR_046	renal_urology	Renal and urologic	PHY-4BBF7B681D	Resident physician	10	10
case_CL120_EHR_046	renal_urology	Renal and urologic	PHY-ADE9557730	Resident physician	10	10
case_CL120_EHR_046	renal_urology	Renal and urologic	PHY-613485E574	Attending physician	10	10
case_CL120_EHR_046	renal_urology	Renal and urologic	PHY-9F5268815C	Attending physician	10	10
case_CL120_EHR_046	renal_urology	Renal and urologic	PHY-40DE8185EE	Associate-chief/chief physician	10	10
case_CL120_EHR_047	renal_urology	Renal and urologic	PHY-6B9832F1CB	Resident physician	10	10
case_CL120_EHR_047	renal_urology	Renal and urologic	PHY-8E177BF6B9	Resident physician	10	10
case_CL120_EHR_047	renal_urology	Renal and urologic	PHY-944446CECD	Attending physician	10	10
case_CL120_EHR_047	renal_urology	Renal and urologic	PHY-9F744DC3B0	Attending physician	10	10
case_CL120_EHR_047	renal_urology	Renal and urologic	PHY-ED0516D3FE	Associate-chief/chief physician	10	10
case_CL120_EHR_048	renal_urology	Renal and urologic	PHY-6B9832F1CB	Resident physician	10	10
case_CL120_EHR_048	renal_urology	Renal and urologic	PHY-ADE9557730	Resident physician	10	10
case_CL120_EHR_048	renal_urology	Renal and urologic	PHY-613485E574	Attending physician	10	10
case_CL120_EHR_048	renal_urology	Renal and urologic	PHY-9F744DC3B0	Attending physician	10	10
case_CL120_EHR_048	renal_urology	Renal and urologic	PHY-40DE8185EE	Associate-chief/chief physician	10	10
case_CL120_EHR_049	respiratory	Respiratory	PHY-BD3B661B3D	Resident physician	10	10
case_CL120_EHR_049	respiratory	Respiratory	PHY-D208B172BB	Resident physician	10	10
case_CL120_EHR_049	respiratory	Respiratory	PHY-5B210A27D4	Attending physician	10	10
case_CL120_EHR_049	respiratory	Respiratory	PHY-6CEA3FB6F4	Attending physician	10	10
case_CL120_EHR_049	respiratory	Respiratory	PHY-DAF316046C	Associate-chief/chief physician	10	10
case_CL120_EHR_050	gastro_hepatology	Gastroenterology and hepatology	PHY-026DC82E99	Resident physician	10	10
case_CL120_EHR_050	gastro_hepatology	Gastroenterology and hepatology	PHY-026E9BCDF0	Resident physician	10	10
case_CL120_EHR_050	gastro_hepatology	Gastroenterology and hepatology	PHY-26BF73945F	Attending physician	10	10
case_CL120_EHR_050	gastro_hepatology	Gastroenterology and hepatology	PHY-9F28568560	Attending physician	10	10
case_CL120_EHR_050	gastro_hepatology	Gastroenterology and hepatology	PHY-8F493003F1	Associate-chief/chief physician	10	10
case_CL120_EHR_051	gastro_hepatology	Gastroenterology and hepatology	PHY-BE06F68E7A	Resident physician	10	10
case_CL120_EHR_051	gastro_hepatology	Gastroenterology and hepatology	PHY-E6A39FC96A	Resident physician	10	10
case_CL120_EHR_051	gastro_hepatology	Gastroenterology and hepatology	PHY-26BF73945F	Attending physician	10	10
case_CL120_EHR_051	gastro_hepatology	Gastroenterology and hepatology	PHY-A534100B3F	Attending physician	10	10
case_CL120_EHR_051	gastro_hepatology	Gastroenterology and hepatology	PHY-D85512529E	Associate-chief/chief physician	10	10
case_CL120_EHR_052	gastro_hepatology	Gastroenterology and hepatology	PHY-026DC82E99	Resident physician	10	10
case_CL120_EHR_052	gastro_hepatology	Gastroenterology and hepatology	PHY-EBCB6F96BA	Resident physician	10	10
case_CL120_EHR_052	gastro_hepatology	Gastroenterology and hepatology	PHY-9F28568560	Attending physician	10	10
case_CL120_EHR_052	gastro_hepatology	Gastroenterology and hepatology	PHY-A534100B3F	Attending physician	10	10
case_CL120_EHR_052	gastro_hepatology	Gastroenterology and hepatology	PHY-8F493003F1	Associate-chief/chief physician	10	10
case_CL120_EHR_053	renal_urology	Renal and urologic	PHY-3F98D6F745	Resident physician	10	10
case_CL120_EHR_053	renal_urology	Renal and urologic	PHY-4BBF7B681D	Resident physician	10	10
case_CL120_EHR_053	renal_urology	Renal and urologic	PHY-944446CECD	Attending physician	10	10
case_CL120_EHR_053	renal_urology	Renal and urologic	PHY-9F5268815C	Attending physician	10	10
case_CL120_EHR_053	renal_urology	Renal and urologic	PHY-ED0516D3FE	Associate-chief/chief physician	10	10
case_CL120_EHR_054	gastro_hepatology	Gastroenterology and hepatology	PHY-026E9BCDF0	Resident physician	10	10
case_CL120_EHR_054	gastro_hepatology	Gastroenterology and hepatology	PHY-BE06F68E7A	Resident physician	10	10
case_CL120_EHR_054	gastro_hepatology	Gastroenterology and hepatology	PHY-26BF73945F	Attending physician	10	10
case_CL120_EHR_054	gastro_hepatology	Gastroenterology and hepatology	PHY-9F28568560	Attending physician	10	10
