packet_id,case_id,doctor_model,primary_friction,friction_intensity,ordinal_grade_median4,ordinal_grade_mean4,applicable_domain_count_median4,applicable_domain_count_mean4,friction_capability_composite_median4,friction_capability_composite_mean4,clinical_error_gate_median4,clinical_error_gate_mean4,careloop_real_world_robustness_median4,careloop_real_world_robustness_mean4,closure_process_score_median4,closure_process_score_mean4,domain_information_repair_median4,domain_information_repair_mean4,domain_constraint_navigation_median4,domain_constraint_navigation_mean4,domain_dynamic_reprioritization_median4,domain_dynamic_reprioritization_mean4,domain_execution_loop_repair_median4,domain_execution_loop_repair_mean4,domain_state_sensitive_communication_median4,domain_state_sensitive_communication_mean4,domain_bounded_closure_continuity_median4,domain_bounded_closure_continuity_mean4
case_CL120_EHR_003__anon_417bdeef8830f46a,case_CL120_EHR_003,GPT-5.6 Sol,caregiver_conflict_or_fatigue,light,4.5,4.0,4.0,4.0,1.0,0.9855769230769231,1.0,0.9375,1.0,0.9266826923076923,1.0,0.84,1.0,1.0,0.9999999999999999,0.9624999999999999,1.0,1.0,,,1.0,0.98125,,
case_CL120_EHR_003__anon_424fe0fa0ed287a9,case_CL120_EHR_003,GPT-5.4,caregiver_conflict_or_fatigue,light,5.0,5.0,4.0,4.0,0.7769230769230768,0.7769230769230768,1.0,1.0,0.7769230769230768,0.7769230769230768,1.0,1.0,0.8,0.8,0.9999999999999999,0.9999999999999999,0.3,0.475,,,0.825,0.7374999999999999,,
case_CL120_EHR_003__anon_64013c45a7f498cd,case_CL120_EHR_003,Qwen3-30B-A3B-Instruct-2507,caregiver_conflict_or_fatigue,light,1.5,2.25,4.0,4.0,0.616826923076923,0.5060096153846154,0.55,0.6125,0.40057692307692305,0.34579326923076925,0.4,0.44999999999999996,0.275,0.275,0.95,0.7374999999999999,0.48124999999999996,0.471875,,,0.575,0.5562499999999999,,
case_CL120_EHR_003__anon_77fa961fdeeb6136,case_CL120_EHR_003,Kimi K2,caregiver_conflict_or_fatigue,light,3.0,3.0,4.0,4.0,0.8538461538461538,0.8591346153846154,0.675,0.675,0.5750480769230769,0.5731971153846154,1.0,0.89,0.95,0.925,0.9999999999999999,0.9874999999999999,0.5,0.51875,,,1.0,0.98125,,
case_CL120_EHR_003__anon_816fc709e407b439,case_CL120_EHR_003,Doubao-Seed-2.0-lite,caregiver_conflict_or_fatigue,light,1.5,2.0,4.0,4.0,0.6259615384615385,0.5665865384615384,0.55,0.6125,0.39408653846153846,0.36936298076923074,0.4,0.44999999999999996,0.35,0.35000000000000003,0.9999999999999999,0.7875,0.3625,0.459375,,,0.825,0.71875,,
case_CL120_EHR_003__anon_cb463d3d489ee356,case_CL120_EHR_003,Qwen3.8-Max,caregiver_conflict_or_fatigue,light,2.5,2.75,4.0,4.0,0.8283653846153847,0.6401442307692308,0.675,0.675,0.5624278846153846,0.5028004807692308,1.0,0.75,0.5750000000000001,0.5375000000000001,0.9999999999999999,0.7625,0.55625,0.528125,,,1.0,0.76875,,
case_CL120_EHR_003__anon_cda1536af26d8281,case_CL120_EHR_003,DeepSeek-V3.2,caregiver_conflict_or_fatigue,light,3.5,3.5,4.0,4.0,0.9028846153846154,0.7478365384615385,0.875,0.875,0.7819711538461538,0.6742788461538461,1.0,1.0,0.9500000000000001,0.7625000000000001,0.9999999999999999,0.8125,0.6125,0.6031249999999999,,,1.0,0.80625,,
case_CL120_EHR_003__anon_f5275f800c5f4747,case_CL120_EHR_003,GLM-5,caregiver_conflict_or_fatigue,light,3.0,2.75,4.0,4.0,0.6697115384615384,0.5891826923076923,0.875,0.775,0.4125240384615384,0.44941105769230766,0.8800000000000001,0.6900000000000001,0.55,0.5625,0.7749999999999999,0.675,0.26249999999999996,0.390625,,,0.9249999999999999,0.7687499999999999,,
case_CL120_EHR_004__anon_05afe70d4ad65f61,case_CL120_EHR_004,DeepSeek-V3.2,document_or_image_quality_problem,light,2.0,2.25,4.0,4.0,0.36303571428571424,0.3769374999999999,0.75,0.7125,0.27377232142857144,0.2691473214285714,0.8800000000000001,0.79,0.15000000000000002,0.11250000000000002,0.425,0.42500000000000004,0.2875,0.421875,,,,,0.5785,0.6205
case_CL120_EHR_004__anon_100cf60325a4a486,case_CL120_EHR_004,Qwen3.8-Max,document_or_image_quality_problem,light,4.0,3.5,4.0,4.0,0.6375,0.6071428571428571,1.0,0.8375,0.6375,0.5505580357142857,1.0,0.75,0.2,0.275,0.9999999999999999,0.8749999999999999,0.65,0.671875,,,,,0.55625,0.6281249999999999
case_CL120_EHR_004__anon_2ff2e6bf21e0b6bf,case_CL120_EHR_004,GLM-5,document_or_image_quality_problem,light,2.0,2.25,4.0,4.0,0.5370535714285714,0.5479910714285714,0.75,0.7125,0.4191964285714285,0.3842522321428571,1.0,1.0,0.125,0.11250000000000002,0.7999999999999999,0.725,0.675,0.6937500000000001,,,,,0.6625000000000001,0.7468750000000001
case_CL120_EHR_004__anon_30190f9bb8c3f2f9,case_CL120_EHR_004,DeepSeek-V4-Pro,document_or_image_quality_problem,light,3.0,3.0,4.0,4.0,0.5785714285714285,0.4842857142857142,0.675,0.675,0.40446428571428567,0.39583928571428567,1.0,0.8,0.15000000000000002,0.125,0.825,0.6625,0.5375,0.51875,,,,,0.8625,0.69125
case_CL120_EHR_004__anon_6242dc72a7c203d9,case_CL120_EHR_004,GPT-5.4,document_or_image_quality_problem,light,2.5,2.75,4.0,4.0,0.7691428571428571,0.7833660714285714,0.875,0.775,0.6566428571428571,0.6303995535714285,0.78,0.6900000000000001,0.6,0.5875,0.8999999999999999,0.8624999999999999,1.0,0.953125,,,,,0.7825,0.76925
case_CL120_EHR_004__anon_7338787e52c555d1,case_CL120_EHR_004,MiniMax M3,document_or_image_quality_problem,light,2.5,2.75,4.0,4.0,0.6590178571428571,0.6820089285714286,0.675,0.675,0.43246428571428563,0.4496629464285714,0.7,0.7,0.5,0.525,0.825,0.7374999999999999,0.8875,0.78125,,,,,0.665,0.718125
case_CL120_EHR_004__anon_bc636433a1a7b79e,case_CL120_EHR_004,GPT-5.6 Sol,document_or_image_quality_problem,light,5.0,4.75,4.0,4.0,0.7303571428571427,0.7203124999999999,1.0,1.0,0.7303571428571427,0.7203124999999999,1.0,1.0,0.6000000000000001,0.5875,0.9999999999999999,0.825,0.6125,0.6312500000000001,,,,,0.8625,0.846875
case_CL120_EHR_004__anon_eb62752c671ce77f,case_CL120_EHR_004,Kimi K2,document_or_image_quality_problem,light,1.0,2.0,4.0,4.0,0.31482142857142853,0.36866071428571423,0.35,0.5125000000000001,0.11018749999999997,0.22783705357142853,0.6000000000000001,0.55,0.1,0.1,0.55,0.5875,0.32499999999999996,0.31562499999999993,,,,,0.37375,0.48812500000000003
case_CL120_EHR_004__anon_ed14eb672cd56512,case_CL120_EHR_004,Qwen3-30B-A3B-Instruct-2507,document_or_image_quality_problem,light,3.5,3.25,4.0,4.0,0.5639285714285713,0.46946428571428567,0.875,0.775,0.5082142857142857,0.4392857142857143,0.7,0.6,0.15000000000000002,0.11250000000000002,0.7999999999999999,0.6625,0.73125,0.6062500000000001,,,,,0.63375,0.55125
case_CL120_EHR_004__anon_efd7d19a9a629fbf,case_CL120_EHR_004,Doubao-Seed-2.0-lite,document_or_image_quality_problem,light,2.5,2.75,4.0,4.0,0.45142857142857135,0.37906249999999997,0.675,0.675,0.3382008928571428,0.31562946428571426,0.7,0.6,0.07500000000000001,0.08750000000000001,0.425,0.38749999999999996,0.6375,0.56875,,,,,0.6025,0.566875
case_CL120_EHR_005__anon_136409f7df8776ad,case_CL120_EHR_005,DeepSeek-V4-Pro,delayed_or_staged_result_return,light,5.0,4.0,3.0,3.0,0.7431818181818182,0.7582386363636362,1.0,0.8375,0.7272727272727273,0.6406107954545454,1.0,1.0,0.6000000000000001,0.5375000000000001,0.9999999999999999,0.9874999999999998,,,,,,,0.8,0.7468750000000001
case_CL120_EHR_005__anon_19d84eff84508f89,case_CL120_EHR_005,Qwen3-30B-A3B-Instruct-2507,delayed_or_staged_result_return,light,2.0,2.5,3.0,3.0,0.6806818181818182,0.6261363636363636,0.75,0.7125,0.4286931818181817,0.4486931818181818,1.0,1.0,0.375,0.41250000000000003,0.9999999999999999,0.8125,,,,,,,0.6625000000000001,0.6625000000000001
case_CL120_EHR_005__anon_3036616fe9f38caf,case_CL120_EHR_005,MiniMax M3,delayed_or_staged_result_return,light,5.0,4.25,3.0,3.0,0.7721590909090909,0.7721590909090909,1.0,0.9375,0.7090909090909091,0.7199573863636364,1.0,1.0,0.5,0.5,0.9999999999999999,0.9999999999999999,,,,,,,0.83125,0.83125
case_CL120_EHR_005__anon_358d05b4d98dd9fa,case_CL120_EHR_005,Doubao-Seed-2.0-lite,delayed_or_staged_result_return,light,2.0,2.75,3.0,3.0,0.7255681818181818,0.6667613636363636,0.75,0.8125,0.5514204545454546,0.5477272727272727,1.0,1.0,0.6500000000000001,0.6000000000000001,0.95,0.875,,,,,,,0.4625,0.478125
case_CL120_EHR_005__anon_43cade2b6276a1cd,case_CL120_EHR_005,Kimi K2,delayed_or_staged_result_return,light,3.0,3.0,3.0,3.0,0.8363636363636363,0.8,0.675,0.675,0.4529261363636364,0.5281818181818181,1.0,1.0,0.7500000000000001,0.7250000000000001,0.95,0.8,,,,,,,0.96875,0.9
case_CL120_EHR_005__anon_94aab43c299b090f,case_CL120_EHR_005,Qwen3.8-Max,delayed_or_staged_result_return,light,4.5,4.5,3.0,3.0,0.8812499999999999,0.8394886363636362,1.0,1.0,0.8812499999999999,0.8394886363636362,1.0,1.0,0.9,0.8999999999999999,0.9999999999999999,0.825,,,,,,,0.83125,0.7781250000000001
case_CL120_EHR_005__anon_95902e39c5f185e5,case_CL120_EHR_005,DeepSeek-V3.2,delayed_or_staged_result_return,light,1.5,2.25,3.0,3.0,0.6836363636363636,0.6406818181818181,0.55,0.6125,0.26281249999999995,0.3948494318181817,1.0,0.85,0.525,0.48750000000000004,0.95,0.875,,,,,,,0.54,0.5325
case_CL120_EHR_005__anon_96315ba8311d3586,case_CL120_EHR_005,GPT-5.4,delayed_or_staged_result_return,light,4.5,4.0,3.0,3.0,0.7534090909090909,0.7440340909090908,1.0,0.9375,0.6559659090909091,0.6953125,1.0,1.0,0.6000000000000001,0.55,0.9999999999999999,0.9125,,,,,,,0.8625,0.7781250000000001
case_CL120_EHR_005__anon_a11f9e66e1ae087d,case_CL120_EHR_005,GPT-5.6 Sol,delayed_or_staged_result_return,light,5.0,4.75,3.0,3.0,0.7357954545454546,0.7224431818181818,1.0,1.0,0.7357954545454546,0.7224431818181818,1.0,1.0,0.4,0.38750000000000007,0.9999999999999999,0.9874999999999999,,,,,,,0.8,0.815625
case_CL120_EHR_005__anon_cff28e2766b8817d,case_CL120_EHR_005,GLM-5,delayed_or_staged_result_return,light,4.0,3.5,3.0,3.0,0.8897727272727272,0.8303977272727272,1.0,0.8375,0.7710227272727272,0.6919034090909091,1.0,1.0,0.8,0.7,0.9999999999999999,0.9999999999999999,,,,,,,0.8625,0.7781250000000001
case_CL120_EHR_006__anon_04e554fd78b2b2e9,case_CL120_EHR_006,MiniMax M3,low_adherence_or_refusal,light,3.5,3.25,4.0,4.0,0.9913461538461539,0.9307692307692308,0.875,0.775,0.8685096153846155,0.7490384615384615,1.0,1.0,1.0,0.875,0.9999999999999999,0.9749999999999999,0.9624999999999999,0.9249999999999999,,,1.0,0.9625,,
case_CL120_EHR_006__anon_1af426b379029a97,case_CL120_EHR_006,DeepSeek-V4-Pro,low_adherence_or_refusal,light,5.0,4.75,4.0,4.0,0.9384615384615385,0.9302884615384615,1.0,1.0,0.9384615384615385,0.9302884615384615,1.0,1.0,0.8,0.7875000000000001,0.9999999999999999,0.9999999999999999,1.0,0.98125,,,1.0,1.0,,
case_CL120_EHR_006__anon_25fd4bc9c85f1ea3,case_CL120_EHR_006,Kimi K2,low_adherence_or_refusal,light,2.0,1.75,4.0,4.0,0.8326923076923076,0.8269230769230769,0.75,0.65,0.6245192307692307,0.5491346153846154,1.0,1.0,0.7750000000000001,0.7625,0.95,0.8875,0.85,0.7999999999999999,,,0.9624999999999999,0.875,,
case_CL120_EHR_006__anon_2c78d3983675aa67,case_CL120_EHR_006,Qwen3.8-Max,low_adherence_or_refusal,light,1.5,1.5,4.0,4.0,0.9750000000000001,0.9649038461538462,0.55,0.55,0.5344951923076924,0.5327163461538462,1.0,0.75,0.9750000000000001,0.9750000000000001,0.9999999999999999,0.9624999999999999,0.94375,0.9437500000000001,,,1.0,0.98125,,
case_CL120_EHR_006__anon_4fbb68f805e026db,case_CL120_EHR_006,GPT-5.6 Sol,low_adherence_or_refusal,light,5.0,5.0,4.0,4.0,0.8769230769230768,0.9076923076923077,1.0,1.0,0.8769230769230768,0.9076923076923077,1.0,1.0,0.6000000000000001,0.7000000000000001,0.9999999999999999,0.9999999999999999,1.0,1.0,,,1.0,1.0,,
case_CL120_EHR_006__anon_5c3900ee77e19997,case_CL120_EHR_006,Doubao-Seed-2.0-lite,low_adherence_or_refusal,light,4.5,4.0,4.0,4.0,0.9384615384615385,0.890625,1.0,0.9375,0.9384615384615385,0.8477764423076923,1.0,1.0,0.8,0.775,0.9999999999999999,0.8999999999999999,1.0,0.971875,,,1.0,0.98125,,
case_CL120_EHR_006__anon_6ae54ee98231fbad,case_CL120_EHR_006,GPT-5.4,low_adherence_or_refusal,light,5.0,4.5,4.0,4.0,0.8769230769230768,0.7834134615384615,1.0,1.0,0.8769230769230768,0.7834134615384615,1.0,1.0,0.6000000000000001,0.5875,0.9999999999999999,0.8999999999999999,1.0,0.815625,,,1.0,0.89375,,
case_CL120_EHR_006__anon_6af291f57034fecd,case_CL120_EHR_006,GLM-5,low_adherence_or_refusal,light,5.0,4.0,4.0,4.0,0.9192307692307693,0.9081730769230769,1.0,0.8375,0.9192307692307693,0.779110576923077,1.0,0.85,1.0,0.875,0.9999999999999999,0.9999999999999999,0.8875,0.7687499999999999,,,1.0,1.0,,
case_CL120_EHR_006__anon_74afdb202a30d2a1,case_CL120_EHR_006,Qwen3-30B-A3B-Instruct-2507,low_adherence_or_refusal,light,4.5,3.75,4.0,4.0,0.9384615384615385,0.9237980769230769,1.0,0.8375,0.9384615384615385,0.790829326923077,1.0,1.0,0.8,0.7875000000000001,0.9999999999999999,0.9999999999999999,1.0,0.953125,,,1.0,1.0,,
case_CL120_EHR_006__anon_aec6f3028b55916b,case_CL120_EHR_006,DeepSeek-V3.2,low_adherence_or_refusal,light,3.0,3.0,4.0,4.0,0.8024038461538461,0.6826923076923076,0.675,0.675,0.5658413461538461,0.5439423076923077,1.0,0.89,0.5750000000000001,0.55,0.825,0.7124999999999999,0.94375,0.75,,,1.0,0.7875,,
case_CL120_EHR_007__anon_39f79fbd6f9d7b31,case_CL120_EHR_007,GLM-5,external_system_gap,moderate,3.0,3.0,2.0,2.0,0.7875,0.8187500000000001,0.675,0.675,0.5220833333333333,0.5722916666666666,0.7,0.7,0.75,0.725,0.9999999999999999,0.9125,,,,,,,,
case_CL120_EHR_007__anon_740fc9a3fe249165,case_CL120_EHR_007,Kimi K2,external_system_gap,moderate,2.5,2.75,2.0,2.0,0.6958333333333333,0.7062499999999999,0.675,0.675,0.48187499999999994,0.5031249999999999,0.7,0.7,0.39166666666666666,0.425,0.9999999999999999,0.9874999999999999,,,,,,,,
case_CL120_EHR_007__anon_77b4567bdd5ccbd7,case_CL120_EHR_007,DeepSeek-V3.2,external_system_gap,moderate,3.0,3.0,2.0,2.0,0.8875,0.8979166666666667,0.675,0.675,0.5922916666666667,0.6176041666666666,0.78,0.74,0.7750000000000001,0.7958333333333334,0.9999999999999999,0.9999999999999999,,,,,,,,
case_CL120_EHR_007__anon_9172d00587ce69fe,case_CL120_EHR_007,Qwen3.8-Max,external_system_gap,moderate,2.5,2.75,2.0,2.0,0.9875,0.98125,0.675,0.675,0.670625,0.6684375,0.7,0.7,0.9750000000000001,0.9625,0.9999999999999999,0.9999999999999999,,,,,,,,
case_CL120_EHR_007__anon_96656505a44abe8c,case_CL120_EHR_007,Doubao-Seed-2.0-lite,external_system_gap,moderate,3.0,3.0,2.0,2.0,0.7416666666666666,0.7270833333333333,0.675,0.675,0.41729166666666667,0.45760416666666665,0.7,0.7,0.6166666666666667,0.6291666666666668,0.9999999999999999,0.825,,,,,,,,
case_CL120_EHR_007__anon_a8a2414388a897fc,case_CL120_EHR_007,GPT-5.6 Sol,external_system_gap,moderate,1.5,2.0,2.0,2.0,0.6208333333333335,0.5687500000000001,0.55,0.6125,0.27708333333333335,0.2989583333333334,0.7,0.6,0.6416666666666667,0.5625,0.55,0.575,,,,,,,,
case_CL120_EHR_007__anon_ad0ec10d4d10e36d,case_CL120_EHR_007,MiniMax M3,external_system_gap,moderate,3.5,3.25,2.0,2.0,0.975,0.9229166666666667,0.875,0.775,0.8531249999999999,0.7414583333333333,0.78,0.74,0.9750000000000001,0.8708333333333333,0.9749999999999999,0.9749999999999999,,,,,,,,
case_CL120_EHR_007__anon_ae2257b63f03237f,case_CL120_EHR_007,DeepSeek-V4-Pro,external_system_gap,moderate,2.5,2.75,2.0,2.0,0.9083333333333333,0.8958333333333333,0.675,0.675,0.5995833333333334,0.6168750000000001,0.7,0.7,0.8166666666666667,0.7916666666666666,0.9999999999999999,0.9999999999999999,,,,,,,,
case_CL120_EHR_007__anon_cc6f5ed3b51ca109,case_CL120_EHR_007,Qwen3-30B-A3B-Instruct-2507,external_system_gap,moderate,2.0,2.5,2.0,2.0,0.6958333333333333,0.6145833333333334,0.675,0.675,0.24354166666666666,0.3884375,0.5,0.5,0.5416666666666666,0.49166666666666664,0.85,0.7375,,,,,,,,
case_CL120_EHR_007__anon_ff59ad460bb6f0ed,case_CL120_EHR_007,GPT-5.4,external_system_gap,moderate,2.5,2.75,2.0,2.0,0.8999999999999999,0.8979166666666667,0.675,0.675,0.6039583333333334,0.6067708333333333,0.78,0.74,0.8,0.7958333333333334,0.9999999999999999,0.9999999999999999,,,,,,,,
case_CL120_EHR_008__anon_14d429c87f68ff06,case_CL120_EHR_008,GLM-5,misstated_family_or_patient_information,moderate,4.0,3.75,2.0,2.0,0.9416666666666667,0.79375,1.0,0.9375,0.8229166666666665,0.7343749999999999,1.0,1.0,0.8833333333333333,0.775,0.9999999999999999,0.8125,,,,,,,,
case_CL120_EHR_008__anon_289853ddfc495b90,case_CL120_EHR_008,DeepSeek-V4-Pro,misstated_family_or_patient_information,moderate,3.0,3.0,2.0,2.0,0.8625,0.7875,0.675,0.675,0.41729166666666667,0.5004166666666666,0.7,0.7,0.7333333333333334,0.7500000000000001,0.9999999999999999,0.825,,,,,,,,
case_CL120_EHR_008__anon_30cecd35e4fce7ef,case_CL120_EHR_008,GPT-5.4,misstated_family_or_patient_information,moderate,3.5,3.25,2.0,2.0,0.875,0.7875,1.0,0.8375,0.5875,0.6290625,1.0,0.85,0.7750000000000001,0.6875,0.9749999999999999,0.8875,,,,,,,,
case_CL120_EHR_008__anon_737227a8979c4b2f,case_CL120_EHR_008,Kimi K2,misstated_family_or_patient_information,moderate,2.5,2.75,2.0,2.0,0.7833333333333334,0.7916666666666667,0.675,0.675,0.49124999999999996,0.5235416666666667,1.0,1.0,0.8166666666666667,0.7583333333333333,0.9999999999999999,0.825,,,,,,,,
case_CL120_EHR_008__anon_7c23bba3378f3372,case_CL120_EHR_008,Qwen3.8-Max,misstated_family_or_patient_information,moderate,4.5,4.5,2.0,2.0,0.8666666666666667,0.8458333333333333,1.0,1.0,0.8666666666666667,0.8458333333333333,1.0,1.0,1.0,0.8666666666666667,0.9999999999999999,0.825,,,,,,,,
