case_id,n_models,mean_primary_score,median_primary_score,score_std,score_range,mean_turns,max_turns,closed_success_n,open_at_100_n,runtime_error_n,very_low_score_n,high_judge_disagreement_n,closed_but_low_score_n,workspace_underuse_candidate_n,workspace_overuse_candidate_n,long_or_tool_intensive_low_score_n,case_disease_domain,case_target_problem,case_primary_friction
case_CL120_EHR_032,10,2.3,2.5,1.1,3.5,52.5,100,8,2,0,6,7,7,1,5,8,endocrine_metabolic,diabetes_sick_day,medication_confusion_or_execution_failure
case_CL120_EHR_033,10,3.25,3.25,1.4186260959111108,4.0,19,59,10,0,0,4,9,5,0,2,2,endocrine_metabolic,hypoglycemia,caregiver_conflict_or_fatigue
case_CL120_EHR_034,10,2.4,2.25,0.7681145747868608,2.0,36.9,74,10,0,0,6,10,8,1,5,5,endocrine_metabolic,thyroid_dysfunction,document_or_image_quality_problem
case_CL120_EHR_035,10,2.6,2.75,1.1135528725660044,3.5,65.4,100,5,4,1,5,8,5,0,4,6,endocrine_metabolic,steroid_or_insulin_adjustment,delayed_or_staged_result_return
case_CL120_EHR_036,10,2.0,1.5,1.0723805294763609,2.5,52.4,100,8,1,1,7,10,6,1,7,8,endocrine_metabolic,obesity_sleep_apnea_metabolic_risk,low_adherence_or_refusal
case_CL120_EHR_037,10,3.25,3.0,1.0547511554864493,3.0,39,95,9,0,1,4,10,5,2,4,4,endocrine_metabolic,diabetic_foot_wound_and_sick_day_medication_safety,external_system_gap
case_CL120_EHR_038,10,3.15,3.0,1.1412712210513327,3.5,31.2,89,10,0,0,4,8,6,1,2,3,endocrine_metabolic,postoperative_glucose_variability_and_medication_safety,misstated_family_or_patient_information
case_CL120_EHR_039,10,2.25,1.5,1.3275918047351754,4.0,13.9,27,10,0,0,6,9,7,0,2,2,renal_urology,ckd_med_reconciliation,cost_transport_or_work_barrier
case_CL120_EHR_040,10,2.85,2.75,1.5976545308670456,4.0,10.1,16,10,0,0,5,9,5,0,1,1,renal_urology,uti_culture_action,privacy_stigma_or_sensitive_history
case_CL120_EHR_041,10,3.55,3.75,1.0828203913853858,3.5,19.3,55,9,0,1,3,10,4,0,3,3,renal_urology,renal_function_abnormality_warning_and_result_followup,incomplete_patient_information
case_CL120_EHR_042,10,2.8,2.0,1.469693845669907,4.0,8.1,14,10,0,0,6,9,6,0,2,2,renal_urology,stone_colic,medication_confusion_or_execution_failure
case_CL120_EHR_043,10,3.4,3.25,1.2206555615733703,4.0,23.2,62,9,0,1,2,9,4,3,0,0,renal_urology,anticoagulation_and_hematuria,caregiver_conflict_or_fatigue
case_CL120_EHR_044,10,3.55,3.75,1.2539936203984452,4.0,30.7,75,10,0,0,2,7,4,1,2,2,renal_urology,ckd_med_reconciliation,document_or_image_quality_problem
case_CL120_EHR_045,10,2.1,2.0,0.8602325267042626,2.5,17.6,35,10,0,0,7,10,9,0,2,2,renal_urology,uti_culture_action,delayed_or_staged_result_return
case_CL120_EHR_046,10,3.35,3.25,1.2257650672131262,4.0,73.2,100,4,6,0,4,8,2,1,3,5,renal_urology,aki_warning,low_adherence_or_refusal
case_CL120_EHR_047,10,2.3,2.0,0.5099019513592785,1.5,14.5,21,10,0,0,8,8,9,4,2,2,renal_urology,stone_colic,external_system_gap
case_CL120_EHR_048,10,3.0,3.0,1.2041594578792296,4.0,22.5,63,9,0,1,4,9,6,2,2,3,renal_urology,renal_function_electrolyte_and_urine_color_medication_safety,misstated_family_or_patient_information
case_CL120_EHR_049,10,3.15,3.5,0.7433034373659253,2.5,7.1,14,10,0,0,3,10,4,0,1,1,respiratory,pulmonary_sequestration_interventional_planning_and_cost_barrier,cost_transport_or_work_barrier
case_CL120_EHR_050,10,2.0,2.0,0.8944271909999159,2.5,42.1,100,7,2,1,8,8,5,1,5,6,gastro_hepatology,viral_hepatitis_cirrhosis,privacy_stigma_or_sensitive_history
case_CL120_EHR_051,10,2.85,3.0,1.205197079319395,3.5,36.1,81,9,0,1,3,8,5,0,3,4,gastro_hepatology,abdominal_pain,incomplete_patient_information
case_CL120_EHR_052,10,2.85,2.75,1.4326548781894402,4.0,26.4,100,8,1,1,5,7,3,1,3,3,gastro_hepatology,pancreatitis,medication_confusion_or_execution_failure
case_CL120_EHR_053,10,3.85,3.5,1.0259142264341596,3.0,6,15,10,0,0,1,9,3,0,0,0,renal_urology,lupus_nephritis_steroid_and_followup_after_negative_covid_result,caregiver_conflict_or_fatigue
case_CL120_EHR_054,10,2.2,2.5,0.7483314773547882,2.0,6.8,10,10,0,0,7,10,10,0,2,2,gastro_hepatology,gi_bleeding,document_or_image_quality_problem
case_CL120_EHR_055,10,3.6,3.75,0.9695359714832659,3.0,15.8,43,10,0,0,2,9,3,1,2,2,gastro_hepatology,viral_hepatitis_cirrhosis,delayed_or_staged_result_return
case_CL120_EHR_056,10,3.6,4.0,1.2409673645990857,4.0,19.7,67,9,0,1,3,8,3,1,2,2,gastro_hepatology,abdominal_pain,low_adherence_or_refusal
case_CL120_EHR_057,10,2.35,2.25,0.8077747210701756,3.0,7.5,16,10,0,0,7,8,9,4,0,0,gastro_hepatology,pancreatitis,external_system_gap
case_CL120_EHR_058,10,2.4,2.5,1.2609520212918492,4.0,7.4,12,10,0,0,5,8,8,1,1,1,gastro_hepatology,colonoscopy_or_pathology_followup,misstated_family_or_patient_information
case_CL120_EHR_059,10,3.15,3.25,1.1191514642799696,3.0,19.5,45,10,0,0,3,10,5,1,2,2,gastro_hepatology,gi_bleeding,cost_transport_or_work_barrier
case_CL120_EHR_060,10,1.3,1.0,0.4,1.0,1,1,0,0,10,10,1,0,10,0,0,gastro_hepatology,viral_hepatitis_cirrhosis,privacy_stigma_or_sensitive_history
case_CL120_EHR_061,10,2.9,2.5,1.7146428199482247,4.0,14.1,24,10,0,0,5,9,6,0,3,3,neurology,stroke_tia,incomplete_patient_information
case_CL120_EHR_062,10,3.5,3.25,0.806225774829855,2.5,6,10,10,0,0,1,10,5,2,0,0,neurology,limb_numbness_weakness_preoperative_medication_and_followup,medication_confusion_or_execution_failure
case_CL120_EHR_063,10,2.5,2.0,0.9746794344808963,3.0,9.7,20,10,0,0,6,10,6,6,0,0,neurology,headache_red_flag,caregiver_conflict_or_fatigue
case_CL120_EHR_064,10,2.15,1.5,1.0012492197250393,3.0,14.5,28,10,0,0,8,8,8,1,2,2,neurology,dementia_delirium,document_or_image_quality_problem
case_CL120_EHR_065,10,2.45,1.75,1.6347782724271815,4.0,7,13,10,0,0,7,8,7,1,0,0,neurology,neuropathy_or_fall,delayed_or_staged_result_return
case_CL120_EHR_066,10,3.5,3.5,1.161895003862225,3.5,13.4,28,10,0,0,2,10,4,4,1,1,neurology,stroke_tia,low_adherence_or_refusal
case_CL120_EHR_067,10,3.15,3.0,0.9759610647971567,3.5,30.2,100,9,1,0,3,9,6,2,2,2,neurology,seizure,external_system_gap
case_CL120_EHR_068,10,4.05,4.0,0.9069178573608527,2.5,20.1,32,9,0,1,1,10,2,0,2,2,neurology,headache_red_flag,misstated_family_or_patient_information
case_CL120_EHR_069,10,3.15,3.5,1.1191514642799696,3.5,68,100,6,4,0,4,9,3,2,2,4,neurology,dementia_delirium,cost_transport_or_work_barrier
case_CL120_EHR_070,10,3.4,3.5,0.9695359714832659,3.0,8.7,21,10,0,0,2,10,4,3,0,0,neurology,neuropathy_or_fall,privacy_stigma_or_sensitive_history
case_CL120_EHR_071,10,2.4,2.0,0.6244997998398398,1.5,5.8,14,10,0,0,7,9,8,3,0,0,obstetrics_gynecology,pregnancy_med_safety,incomplete_patient_information
case_CL120_EHR_072,10,3.5,3.5,1.0954451150103321,3.5,20.9,47,9,0,1,2,10,2,1,1,1,obstetrics_gynecology,ectopic_or_bleeding,medication_confusion_or_execution_failure
case_CL120_EHR_073,10,4.05,4.75,1.1280514172678477,3.0,29.6,52,9,0,1,2,9,2,2,1,2,obstetrics_gynecology,postpartum_warning,caregiver_conflict_or_fatigue
case_CL120_EHR_074,10,3.65,3.75,1.0965856099730653,3.5,6.8,12,10,0,0,2,8,4,0,0,0,obstetrics_gynecology,gynecologic_mass_pathway,document_or_image_quality_problem
case_CL120_EHR_075,10,2.85,3.0,0.95,3.5,7.8,12,10,0,0,4,9,6,1,2,2,obstetrics_gynecology,pregnancy_med_safety,delayed_or_staged_result_return
case_CL120_EHR_076,10,3.25,3.5,1.2093386622447824,4.0,41.6,100,8,2,0,3,9,1,2,5,5,obstetrics_gynecology,ectopic_or_bleeding,low_adherence_or_refusal
case_CL120_EHR_077,10,3.0,2.5,1.161895003862225,3.0,6.7,9,10,0,0,5,9,6,0,0,0,obstetrics_gynecology,postpartum_warning,external_system_gap
case_CL120_EHR_078,10,3.8,4.0,0.9797958971132712,3.0,47.1,100,9,1,0,1,8,3,1,2,3,obstetrics_gynecology,gynecologic_mass_pathway,misstated_family_or_patient_information
case_CL120_EHR_079,10,2.55,2.0,0.788986691902975,2.0,22.7,40,10,0,0,6,8,6,4,2,2,pediatrics,fever_dehydration,cost_transport_or_work_barrier
case_CL120_EHR_080,10,2.35,2.0,0.7088723439378912,2.0,9.4,18,10,0,0,7,8,8,0,2,2,pediatrics,type1_diabetes_vomiting,privacy_stigma_or_sensitive_history
case_CL120_EHR_081,10,3.2,3.0,1.1874342087037917,3.0,4.4,6,10,0,0,4,9,6,2,0,0,pediatrics,short_stature_growth_hormone_deficiency_and_scoliosis_followup,incomplete_patient_information
case_CL120_EHR_082,10,2.95,3.25,0.85,2.5,6.7,12,10,0,0,4,10,5,2,0,0,pediatrics,caregiver_medication_error,medication_confusion_or_execution_failure
case_CL120_EHR_083,10,3.0,2.75,1.0488088481701516,3.0,12.5,27,10,0,0,5,10,6,3,3,3,pediatrics,fever_dehydration,caregiver_conflict_or_fatigue
case_CL120_EHR_084,10,2.95,2.75,1.105667219374799,3.5,35.9,68,9,0,1,5,7,5,3,4,4,pediatrics,type1_diabetes_vomiting,document_or_image_quality_problem
case_CL120_EHR_085,10,2.8,3.0,1.1445523142259597,4.0,18.8,100,9,1,0,5,7,4,0,2,2,pediatrics,asthma_child,delayed_or_staged_result_return
case_CL120_EHR_086,10,3.7,3.5,1.1445523142259597,4.0,15.2,39,10,0,0,1,9,2,0,2,2,pediatrics,caregiver_medication_error,low_adherence_or_refusal
case_CL120_EHR_087,10,2.95,3.0,0.9604686356149273,3.0,24.4,37,9,0,1,5,9,4,2,2,2,oncology_hematology,new_mass_staging,external_system_gap
case_CL120_EHR_088,10,2.5,3.0,1.2649110640673518,4.0,6.8,12,10,0,0,4,8,8,2,1,1,oncology_hematology,chemotherapy_complication,misstated_family_or_patient_information
case_CL120_EHR_089,10,4.0,4.25,1.0,3.0,54.2,100,6,3,1,2,9,0,1,1,1,oncology_hematology,anemia_bleeding,cost_transport_or_work_barrier
case_CL120_EHR_090,10,3.05,3.25,1.0111874208078342,4.0,20.9,72,10,0,0,3,8,5,2,1,2,oncology_hematology,palliative_transition,privacy_stigma_or_sensitive_history
case_CL120_EHR_091,10,2.4,2.0,1.019803902718557,3.5,9.4,20,10,0,0,6,9,8,2,0,0,oncology_hematology,family_disclosure,incomplete_patient_information
case_CL120_EHR_092,10,2.6,2.25,0.6633249580710799,1.5,3.9,11,10,0,0,6,8,7,6,0,0,oncology_hematology,new_mass_staging,medication_confusion_or_execution_failure
case_CL120_EHR_093,10,2.25,2.25,0.873212459828649,2.5,10.1,29,10,0,0,5,10,9,4,1,1,oncology_hematology,chemotherapy_complication,caregiver_conflict_or_fatigue
case_CL120_EHR_094,10,3.3,3.0,1.0535653752852738,3.0,52.1,100,8,2,0,4,7,5,1,3,5,oncology_hematology,anemia_bleeding,document_or_image_quality_problem
case_CL120_EHR_095,10,2.8,2.5,1.2489995996796797,4.0,27.1,100,9,1,0,6,9,6,0,4,4,oncology_hematology,palliative_transition,delayed_or_staged_result_return
case_CL120_EHR_096,10,3.95,4.25,0.986154146165801,3.0,47.4,100,9,1,0,1,7,2,2,1,2,oncology_hematology,family_disclosure,low_adherence_or_refusal
case_CL120_EHR_097,10,3.1,3.0,0.916515138991168,3.0,6.2,16,10,0,0,3,10,6,3,1,1,infectious_disease,culture_result_action,external_system_gap
case_CL120_EHR_098,10,3.8,4.0,1.1224972160321824,3.0,25.7,40,10,0,0,2,10,3,3,2,2,infectious_disease,sepsis_warning,misstated_family_or_patient_information
case_CL120_EHR_099,10,3.55,3.75,1.15,3.5,36,100,7,2,1,3,10,2,1,2,2,infectious_disease,tb_or_hbv_stigma,cost_transport_or_work_barrier
case_CL120_EHR_100,10,2.85,3.0,0.8077747210701756,2.5,28.1,59,10,0,0,4,10,7,1,6,7,infectious_disease,antibiotic_allergy_or_adherence,privacy_stigma_or_sensitive_history
case_CL120_EHR_101,10,3.5,3.0,1.0954451150103321,3.0,12.6,22,10,0,0,2,8,6,0,1,1,infectious_disease,culture_result_action,incomplete_patient_information
case_CL120_EHR_102,10,3.85,3.5,0.95,3.0,48.5,97,10,0,0,1,9,2,1,3,5,infectious_disease,sepsis_warning,medication_confusion_or_execution_failure
case_CL120_EHR_103,10,3.3,3.5,0.458257569495584,1.5,11.2,34,10,0,0,1,10,2,2,1,1,infectious_disease,transplant_patient_hbv_tb_stigma_and_immunosuppression_safety,caregiver_conflict_or_fatigue
case_CL120_EHR_104,10,3.25,3.5,0.95524865872714,3.0,6.5,13,10,0,0,3,9,4,3,1,1,infectious_disease,antibiotic_allergy_or_adherence,document_or_image_quality_problem
case_CL120_EHR_105,10,2.9,3.25,1.1575836902790226,4.0,15.9,34,10,0,0,3,9,5,3,3,3,musculoskeletal_geriatrics,fracture_fall_prevention,delayed_or_staged_result_return
case_CL120_EHR_106,10,3.6,4.0,1.1357816691600546,3.5,22.9,42,10,0,0,2,9,4,2,0,0,musculoskeletal_geriatrics,osteoporosis,low_adherence_or_refusal
case_CL120_EHR_107,10,3.2,3.5,1.0295630140987,3.5,11.3,19,9,0,1,3,10,3,0,1,1,musculoskeletal_geriatrics,polypharmacy,external_system_gap
case_CL120_EHR_108,10,2.85,3.0,0.9233092656309694,3.5,9.2,29,10,0,0,3,9,7,0,1,1,musculoskeletal_geriatrics,frailty_caregiver_execution,misstated_family_or_patient_information
case_CL120_EHR_109,10,3.25,3.0,1.1672617529928753,3.0,8,17,9,0,1,5,8,5,0,1,1,musculoskeletal_geriatrics,fracture_fall_prevention,cost_transport_or_work_barrier
case_CL120_EHR_110,10,2.15,2.0,0.7088723439378912,2.0,13.2,32,10,0,0,7,10,9,1,3,3,musculoskeletal_geriatrics,osteoporosis,privacy_stigma_or_sensitive_history
case_CL120_EHR_111,10,2.35,2.5,0.9759610647971567,3.5,12.5,23,10,0,0,7,8,9,2,0,0,musculoskeletal_geriatrics,polypharmacy,incomplete_patient_information
case_CL120_EHR_112,10,3.6,3.5,0.6244997998398398,2.0,9.6,13,10,0,0,0,10,3,1,1,1,musculoskeletal_geriatrics,frailty_caregiver_execution,medication_confusion_or_execution_failure
case_CL120_EHR_113,10,3.3,3.5,1.3820274961085253,4.0,15.7,29,10,0,0,4,8,4,1,2,2,mental_health_somatic,anxiety_depression_somatic_red_flag_and_followup,caregiver_conflict_or_fatigue
case_CL120_EHR_114,10,2.5,2.0,0.806225774829855,2.5,8.9,19,10,0,0,7,10,7,2,1,1,mental_health_somatic,depression_adherence,document_or_image_quality_problem
case_CL120_EHR_115,10,3.55,3.5,0.5220153254455275,1.5,15.2,32,10,0,0,0,9,3,0,3,3,mental_health_somatic,stigma_hidden_history,delayed_or_staged_result_return
case_CL120_EHR_116,10,2.5,3.0,1.140175425099138,3.5,17.3,32,10,0,0,4,8,8,1,3,3,mental_health_somatic,anxiety_somatic_red_flag,low_adherence_or_refusal
case_CL120_EHR_117,10,2.4,3.0,1.1789826122551597,3.0,15.7,33,10,0,0,4,8,7,0,2,2,mental_health_somatic,depression_adherence,external_system_gap
case_CL120_EHR_118,10,3.25,3.25,0.9013878188659973,3.0,19.6,39,10,0,0,4,10,5,2,1,1,dermatology_ent_ophthalmology,rash_drug_reaction,misstated_family_or_patient_information
case_CL120_EHR_119,10,3.4,3.25,0.9433981132056604,3.0,24.5,35,5,0,5,2,9,2,0,4,4,dermatology_ent_ophthalmology,vision_red_flag,cost_transport_or_work_barrier
case_CL120_EHR_120,10,2.65,2.5,0.7762087348130012,2.0,13.2,43,9,0,1,5,9,5,0,4,4,dermatology_ent_ophthalmology,otitis_sinus_complication,privacy_stigma_or_sensitive_history
